TITLE: Bill of Materials
DATE: 04/16/2021
DESIGN: pc053e_toplevel
TEMPLATE: /projects/HEP_Instrumentation/cad/tools/cadence_templates/spreadsheet-format_1per_line.bom
CALLOUT: 

Part Name,Ref Des,Qty,PART_NUMBER,PART_DESCRIPTION,OL_COMMENTS,KL_COMMENTS,PL_COMMENTS,Do Not Fit,MANUFACTURER,CASE,JEDEC_TYPE
"CAPCERSMDCL2_0402-100NF,16V_GEN",C29,1,CC0402_100NF_16V_10%_X7R,?,?,?,?,?,GENERIC,0402,C0402
"CAPCERSMDCL2_0402-100NF,16V_GEN",C15,1,CC0402_100NF_16V_10%_X7R,?,?,?,?,?,GENERIC,0402,C0402
"CAPCERSMDCL2_0402-100NF,16V_GEN",C49,1,CC0402_100NF_16V_10%_X7R,?,?,?,?,?,GENERIC,0402,C0402
"CAPCERSMDCL2_0402-100NF,16V_GEN",C48,1,CC0402_100NF_16V_10%_X7R,?,?,?,?,?,GENERIC,0402,C0402
"CAPCERSMDCL2_0402-100NF,16V_GEN",C47,1,CC0402_100NF_16V_10%_X7R,?,?,?,?,?,GENERIC,0402,C0402
"CAPCERSMDCL2_0402-100NF,16V_GEN",C46,1,CC0402_100NF_16V_10%_X7R,?,?,?,?,?,GENERIC,0402,C0402
"CAPCERSMDCL2_0402-100NF,16V_GEN",C45,1,CC0402_100NF_16V_10%_X7R,?,?,?,?,?,GENERIC,0402,C0402
"CAPCERSMDCL2_0402-100NF,16V_GEN",C32,1,CC0402_100NF_16V_10%_X7R,?,?,?,?,?,GENERIC,0402,C0402
"CAPCERSMDCL2_0402-100NF,16V_GEN",C31,1,CC0402_100NF_16V_10%_X7R,?,?,?,?,?,GENERIC,0402,C0402
"CAPCERSMDCL2_0402-100NF,16V_GEN",C28,1,CC0402_100NF_16V_10%_X7R,?,?,?,?,?,GENERIC,0402,C0402
"CAPCERSMDCL2_0402-100NF,16V_GEN",C27,1,CC0402_100NF_16V_10%_X7R,?,?,?,?,?,GENERIC,0402,C0402
