STUFF LIST - 1  
24AA025E48T-I/SN 24AA025E48T-I/SN         IC2             

----------------

74LCX04MTC-VCC=P3V3 74LCX04MTC               IC9             

----------------

ADCMP604BKSZ     ADCMP604BKSZ             IC5             
ADCMP604BKSZ     ADCMP604BKSZ             IC6             
ADCMP604BKSZ     ADCMP604BKSZ             IC7             

----------------

ADN2814ACPZ-VCC=P3V3,VEE=GND ADN2814ACPZ              IC12            

----------------

CAPCERSMDCL2_0402-100NF,16V_GEN CC0402_100NF_16V_10%_X7R C69             
CAPCERSMDCL2_0402-100NF,16V_GEN CC0402_100NF_16V_10%_X7R C70             
CAPCERSMDCL2_0402-100NF,16V_GEN CC0402_100NF_16V_10%_X7R C71             
CAPCERSMDCL2_0402-100NF,16V_GEN CC0402_100NF_16V_10%_X7R C72             
CAPCERSMDCL2_0402-100NF,16V_GEN CC0402_100NF_16V_10%_X7R C74             
CAPCERSMDCL2_0402-100NF,16V_GEN CC0402_100NF_16V_10%_X7R C75             
CAPCERSMDCL2_0402-100NF,16V_GEN CC0402_100NF_16V_10%_X7R C107            
CAPCERSMDCL2_0402-100NF,16V_GEN CC0402_100NF_16V_10%_X7R C117            

----------------

CAPCERSMDCL2_0402-10NF,16V_GEN CC0402_10NF_16V_10%_X7R  C73             

----------------

CAPCERSMDCL2_0603-1.5UF,6.3V CC0603_1.5UF_6V3_10%_X5R C43             
CAPCERSMDCL2_0603-1.5UF,6.3V CC0603_1.5UF_6V3_10%_X5R C44             

----------------

CAPCERSMDCL2_0603-10UF_X5R,6.3V CC0603_10UF_6V3_10%_X5R  C64             

----------------

CAPCERSMDCL2_0603-470NF,6.3V CC0603_470NF_6V3_10%_X5R C39             

----------------

CAPCERSMDCL2_0805-10UF,16V C0805C106K4PAC           C35             

----------------

CAPCERSMDCL2_0805-2.2UF,10V_GEN CC0805_2.2UF_10V_+80%-20%_Y5V C12             

----------------

CON19P-HDMI-19-01-X-SM-GND=AGND HDMI-19-01-X-SM          J7              

----------------

CON20P_SFP-1888247-1 1888247-1                J4              

----------------

CON3P-MTLW-103-07-L-S-250 MTLW-103-07-L-S-250      J1              
CON3P-MTLW-103-07-L-S-250 MTLW-103-07-L-S-250      J2              
CON3P-MTLW-103-07-L-S-250 MTLW-103-07-L-S-250      J3              
CON3P-MTLW-103-07-L-S-250 MTLW-103-07-L-S-250      J5              
CON3P-MTLW-103-07-L-S-250 MTLW-103-07-L-S-250      J6              
CON3P-MTLW-103-07-L-S-250 MTLW-103-07-L-S-250      J8              
CON3P-MTLW-103-07-L-S-250 MTLW-103-07-L-S-250      J9              
CON3P-MTLW-103-07-L-S-250 MTLW-103-07-L-S-250      J10             

----------------

CON400P_40ABCDEFGHJK-SEAM-40-0A SEAM-40-03.5-S-10-2-A-K-TR P1              

----------------

CON4P-MTLW-104-07-L-S-250 MTLW-104-07-L-S-250      J11             

----------------

DS90LV028A_SOIC  08.DS90LV028ATM          IC8             

----------------

DSC1123CI5-40.0000-VDD=P3V3 DSC1123CI5-40.0000       QZ1             

----------------

INDUCTANCE_LQH32C_23-4.7UH LQH32CN4R7M23            L1              
INDUCTANCE_LQH32C_23-4.7UH LQH32CN4R7M23            L2              

----------------

LGL29K-G2J1-24   LGL29K-G2J1-24           LD1             
LGL29K-G2J1-24   LGL29K-G2J1-24           LD2             
LGL29K-G2J1-24   LGL29K-G2J1-24           LD3             

----------------

NBSG53AMNG-(),(GND:17;VEE:12;VA NBSG53AMNG               IC3             

----------------

PCA9306DCU       PCA9306DCU               IC1             

----------------

